abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name
"  Saudi Aramco, the Saudi Arabian oil company, has asked the Finance Ministry for authorization to invest in an oil refining business in South Korea, the ministry said this week.",https://www.nytimes.com/1991/01/26/business/saudi-aramco-in-korea.html,,"Saudi Aramco, the Saudi Arabian oil company, has asked the Finance Ministry for authorization to invest in an oil refining business in South Korea, the ministry said this week.",1,43,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Saudi Arabia', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Saudi Aramco', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Refineries', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Oil (Petroleum) and Gasoline', 'rank': 6, 'major': 'N'}]",1991-01-26T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/518d7101-3eeb-5498-9a99-7b3ea108bbef,35,nyt://article/518d7101-3eeb-5498-9a99-7b3ea108bbef,Saudi Aramco in Korea,,,Saudi Aramco in Korea,,,,AP,[],AP,
"   Sports officials from North and South Korea broke off talks today on the formation of a joint team for the Olympic Games in Los Angeles.   A two-and-a-half-hour meeting, which took place in response to a North Korean proposal that the divided nation field a unified team at the Los Angeles Games, ended after the two sides argued about terrorist and kidnapping incidents that South Korea claims were committed by North Korea.    The session today got off to a noisy start when representatives of both sides stood up at the same time and tried to present opening statements.",https://www.nytimes.com/1984/04/10/sports/talks-ended-in-korea.html,,Sports officials from North and South Korea broke off talks today on the formation of a joint team for the Olympic Games in Los Angeles.,B,15,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (1984)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'SUMMER GAMES (OLYMPICS)', 'rank': 4, 'major': 'N'}]",1984-04-10T05:00:00+0000,article,Sports Desk,Sports,News,nyt://article/fa5e0b30-1f9f-50ce-afcb-40180369e5ba,327,nyt://article/fa5e0b30-1f9f-50ce-afcb-40180369e5ba,TALKS ENDED IN KOREA,,,TALKS ENDED IN KOREA,,,,UPI,"[{'firstname': 'Upi', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"LEAD: The Soviet Union wants to open a trade office in Seoul soon after the Olympic Games, which end Oct. 2 in the South Korean capital, a Korean electronics company executive said today. Koo Yong Su, a senior official at the Goldstar Company, told reporters that an official of the Soviet Chamber of Commerce had told him of the plan.",https://www.nytimes.com/1988/05/21/business/soviet-and-south-korea.html,,"The Soviet Union wants to open a trade office in Seoul soon after the Olympic Games, which end Oct. 2 in the South Korean capital, a Korean electronics company executive said today. Koo Yong Su, a senior official at the Goldstar Company, told reporters that an official of the Soviet Chamber of Commerce had told him of the plan. Mr. Koo recently attended an electronics exhibition in Leningrad. South Korea has no diplomatic relations with the Soviet Union and trade between them is conducted through third countries.",1,38,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Seoul (South Korea)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'UNION OF SOVIET SOCIALIST REPUBLICS', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'GOLDSTAR CO', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'KOO YONG SU', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (1988)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'SUMMER GAMES (OLYMPICS)', 'rank': 8, 'major': 'N'}]",1988-05-21T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/bd14621a-647a-5a0d-925c-f32301eae92d,152,nyt://article/bd14621a-647a-5a0d-925c-f32301eae92d,Soviet and South Korea,,,Soviet and South Korea,,,,Reuters,[],Reuters,
"LEAD: The Soviet Union wants to open a trade office in Seoul soon after the Olympic Games, which end Oct. 2 in the South Korean capital, a Korean electronics company executive said today. Koo Yong Su, a senior official at the Goldstar Company, told reporters that an official of the Soviet Chamber of Commerce had told him of the plan.",https://www.nytimes.com/1988/05/21/business/soviet-and-south-korea.html,,"The Soviet Union wants to open a trade office in Seoul soon after the Olympic Games, which end Oct. 2 in the South Korean capital, a Korean electronics company executive said today. Koo Yong Su, a senior official at the Goldstar Company, told reporters that an official of the Soviet Chamber of Commerce had told him of the plan. Mr. Koo recently attended an electronics exhibition in Leningrad. South Korea has no diplomatic relations with the Soviet Union and trade between them is conducted through third countries.",1,38,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Seoul (South Korea)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'UNION OF SOVIET SOCIALIST REPUBLICS', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'GOLDSTAR CO', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'KOO YONG SU', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (1988)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'SUMMER GAMES (OLYMPICS)', 'rank': 8, 'major': 'N'}]",1988-05-21T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/bd14621a-647a-5a0d-925c-f32301eae92d,152,nyt://article/bd14621a-647a-5a0d-925c-f32301eae92d,Soviet and South Korea,,,Soviet and South Korea,,,,Reuters,[],Reuters,
"LEAD: Industrial leaders from Taiwan and South Korea agreed today to buy more from each other and less from Japan to help reduce their trade deficits with Tokyo. Delegates to a conference on Taiwanese-Korean economic cooperation said the strong yen had increased the two countries' deficits with Japan. South Korea's trade deficit with Japan was more than $3 billion in the first half, and Taiwan's was $2.54 billion.",https://www.nytimes.com/1987/09/05/business/taiwanese-korean-pact.html,,"Industrial leaders from Taiwan and South Korea agreed today to buy more from each other and less from Japan to help reduce their trade deficits with Tokyo. Delegates to a conference on Taiwanese-Korean economic cooperation said the strong yen had increased the two countries' deficits with Japan. South Korea's trade deficit with Japan was more than $3 billion in the first half, and Taiwan's was $2.54 billion. South Korea is the only Asian country that has diplomatic relations with Taiwan.",1,40,The New York Times,[],"[{'name': 'glocations', 'value': 'Japan', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Taiwan', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'BALANCE OF PAYMENTS AND TRADE', 'rank': 5, 'major': 'N'}]",1987-09-05T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/f323102c-efa7-55da-a67b-398b0a6fdc10,152,nyt://article/f323102c-efa7-55da-a67b-398b0a6fdc10,Taiwanese-Korean Pact,,,Taiwanese-Korean Pact,,,,Reuters,[],Reuters,
"   The Davy McKee Company of Britain and the Korea Heavy Industries and Construction Company have signed a $70.7 million contract with South Korea's state-run Pohang Iron and Steel Company to supply blast furnace facilities for its second integrated steel mill. A Pohang spokesman said today that Davy McKee would supply facilities worth $50.7 million, while the South Korean company's portion was worth $20 million. Construction is to begin in 1985.",https://www.nytimes.com/1984/03/09/business/korean-steel-contract.html,,"The Davy McKee Company of Britain and the Korea Heavy Industries and Construction Company have signed a $70.7 million contract with South Korea's state-run Pohang Iron and Steel Company to supply blast furnace facilities for its second integrated steel mill. A Pohang spokesman said today that Davy McKee would supply facilities worth $50.7 million, while the South Korean company's portion was worth $20 million. Construction is to begin in 1985.",D,7,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'POHANG IRON & STEEL CO', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'DAVY MCKEE CORP', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'KOREA HEAVY INDUSTRIES & CONSTRUCTION CO', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Steel and Iron', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'CONTRACTS', 'rank': 6, 'major': 'N'}]",1984-03-09T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/2633fafc-2cab-5eff-b36d-f4fd988a48b7,76,nyt://article/2633fafc-2cab-5eff-b36d-f4fd988a48b7,Korean Steel Contract,,,Korean Steel Contract,,,,AP,[],AP,
"  South Korea's trade surplus with the United States in the first half was a record $3.26 billion, up 75.9 percent from a year ago, the Government said today. Exports were $6.42 billion, up 27.6 percent; imports were $3.16 billion, down six-tenths of 1 percent.",https://www.nytimes.com/1986/07/15/business/korean-trade-surplus.html,,"South Korea's trade surplus with the United States in the first half was a record $3.26 billion, up 75.9 percent from a year ago, the Government said today. Exports were $6.42 billion, up 27.6 percent; imports were $3.16 billion, down six-tenths of 1 percent.",D,25,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'BALANCE OF PAYMENTS AND TRADE', 'rank': 4, 'major': 'N'}]",1986-07-15T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/b8029918-9b8c-5bf6-a51a-5a6010ca7bcb,50,nyt://article/b8029918-9b8c-5bf6-a51a-5a6010ca7bcb,Korean Trade Surplus,,,Korean Trade Surplus,,,,AP,[],AP,
"  Sports ministers from 13 Soviet-bloc countries, including the Soviet Union, issued a communique in Hanoi today supporting North Korea's demand to be co-host of the 1988 Seoul Olympics and establish a joint North-South team for that event, the Kyodo News Service of Japan reported. It was the first time the Soviet-bloc countries issued a unified statement on the Seoul Olympics.",https://www.nytimes.com/1985/11/16/sports/north-korea-supported.html,,"Sports ministers from 13 Soviet-bloc countries, including the Soviet Union, issued a communique in Hanoi today supporting North Korea's demand to be co-host of the 1988 Seoul Olympics and establish a joint North-South team for that event, the Kyodo News Service of Japan reported. It was the first time the Soviet-bloc countries issued a unified statement on the Seoul Olympics.",1,49,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Seoul (South Korea)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (1988)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'SUMMER GAMES (OLYMPICS)', 'rank': 5, 'major': 'N'}]",1985-11-16T05:00:00+0000,article,Sports Desk,Sports,News,nyt://article/7be4b37b-e87a-50cc-9d3f-794204fe8d5f,161,nyt://article/7be4b37b-e87a-50cc-9d3f-794204fe8d5f,NORTH KOREA SUPPORTED,,,NORTH KOREA SUPPORTED,,,,AP,[],AP,
"   South Korea's deficit in international payments, as measured on the current-account basis, narrowed to $708 million in the first four months of 1984 from $1.19 billion a year earlier, the nation's central bank said today.",https://www.nytimes.com/1984/05/22/business/korean-payments-gap.html,,"South Korea's deficit in international payments, as measured on the current-account basis, narrowed to $708 million in the first four months of 1984 from $1.19 billion a year earlier, the nation's central bank said today.",D,22,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Currency', 'rank': 2, 'major': 'N'}]",1984-05-22T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/c0fc309b-bd5c-52cf-840c-58e2b0537e1d,41,nyt://article/c0fc309b-bd5c-52cf-840c-58e2b0537e1d,Korean Payments Gap,,,Korean Payments Gap,,,,AP,[],AP,
"LEAD: A demand for health potions has encouraged frog and snake imports to South Korea, a Government report said last week. An Agriculture and Fisheries Ministry report to the National Assembly on imports of foreign food items said the value of South Korea's imports of snakes in the first half of this year climbed to $380,000, surpassing the $295,000 for all of 1988.",https://www.nytimes.com/1989/09/25/business/korea-s-snake-imports.html,,"A demand for health potions has encouraged frog and snake imports to South Korea, a Government report said last week. An Agriculture and Fisheries Ministry report to the National Assembly on imports of foreign food items said the value of South Korea's imports of snakes in the first half of this year climbed to $380,000, surpassing the $295,000 for all of 1988. South Korea also imported $48,000 worth of frogs in the first six months of this year, compared with $37,000 all of last year, the report said.",D,2,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Snakes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Frogs', 'rank': 4, 'major': 'N'}]",1989-09-25T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/15517110-b640-5b9d-9624-41ccda953a92,156,nyt://article/15517110-b640-5b9d-9624-41ccda953a92,Korea's Snake Imports,,,Korea's Snake Imports,,,,AP,[],AP,
"LEAD: South Korea's shipbuilding orders have dropped by 41.3 percent this year, compared with the 1987 period, because of the national currency's appreciation in foreign exchange, officials said today. The value of the South Korean won has risen 7.43 percent against the United States dollar since the beginning of the year.",https://www.nytimes.com/1988/05/12/business/korea-shipyard-decline.html,,"South Korea's shipbuilding orders have dropped by 41.3 percent this year, compared with the 1987 period, because of the national currency's appreciation in foreign exchange, officials said today. The value of the South Korean won has risen 7.43 percent against the United States dollar since the beginning of the year. A higher won makes South Korean exports more expensive abroad while lowering the prices of imports.",D,16,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SHIPBUILDING, CONVERSION AND REPAIR', 'rank': 2, 'major': 'N'}]",1988-05-12T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/d70d9562-1751-5167-b036-27a9ac71cb6d,122,nyt://article/d70d9562-1751-5167-b036-27a9ac71cb6d,Korea Shipyard Decline,,,Korea Shipyard Decline,,,,AP,[],AP,
"   South Korea will need about $6 billion in fresh foreign loans and investment in 1985 to help repay foreign debts and finance exports, Finance Ministry officials said today. The officials put Korea's repayment of principal at $3.6 billion and export financing needs at $1.9 billion in 1985.",https://www.nytimes.com/1984/10/04/business/south-korean-debt.html,,"South Korea will need about $6 billion in fresh foreign loans and investment in 1985 to help repay foreign debts and finance exports, Finance Ministry officials said today. The officials put Korea's repayment of principal at $3.6 billion and export financing needs at $1.9 billion in 1985.",D,23,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Foreign Investments', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Credit', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 4, 'major': 'N'}]",1984-10-04T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/2db2415a-54c5-563b-86e2-3f53f3cb5d12,53,nyt://article/2db2415a-54c5-563b-86e2-3f53f3cb5d12,South Korean Debt,,,South Korean Debt,,,,AP,[],AP,
"LEAD: The United States trade representative, Clayton K. Yeutter, and a private industry group took actions today against what they consider unfair trade practices by the Government of Korea in barring imports of American cigarettes and beef.",https://www.nytimes.com/1988/02/17/business/korea-trade-investigation.html,,"The United States trade representative, Clayton K. Yeutter, and a private industry group took actions today against what they consider unfair trade practices by the Government of Korea in barring imports of American cigarettes and beef.",D,11,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'YEUTTER, CLAYTON K', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Meat', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'TOBACCO', 'rank': 6, 'major': 'N'}]",1988-02-17T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/f7bf17c2-d883-5104-a2ad-bc6bef7ab23e,184,nyt://article/f7bf17c2-d883-5104-a2ad-bc6bef7ab23e,Korea Trade Investigation,,,Korea Trade Investigation,,,,Special to the New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"LEAD: NEARLY 34 years have elapsed since the end of the Korean War, but for Eli S. Belil, memories still linger.",https://www.nytimes.com/1987/07/05/nyregion/korean-war-memories-but.html,,"NEARLY 34 years have elapsed since the end of the Korean War, but for Eli S. Belil, memories still linger.",NJ,11,The New York Times,[],"[{'name': 'glocations', 'value': 'Washington (DC)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'BELIL, ELI S', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Monuments and Memorials', 'rank': 4, 'major': 'N'}]",1987-07-05T05:00:00+0000,article,New Jersey Weekly Desk,New York,News,nyt://article/59192249-c8f9-54c7-9741-44ff3633cdcb,979,nyt://article/59192249-c8f9-54c7-9741-44ff3633cdcb,"KOREAN WAR: MEMORIES, BUT ...",,,"KOREAN WAR: MEMORIES, BUT ...",,,,By Albert J. Parisi,"[{'firstname': 'Albert', 'middlename': 'J.', 'lastname': 'Parisi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"LEAD: South Korea's trade surplus fell dramatically in the first half of 1989, according to central bank figures released today. The surplus dwindled to $2 billion, less than half the $4.5 billion recorded in the 1988 period.",https://www.nytimes.com/1989/07/27/business/korea-trade-surplus.html,,"South Korea's trade surplus fell dramatically in the first half of 1989, according to central bank figures released today. The surplus dwindled to $2 billion, less than half the $4.5 billion recorded in the 1988 period.",D,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 2, 'major': 'N'}]",1989-07-27T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/711196fb-58f9-5d00-9405-788e730ed935,78,nyt://article/711196fb-58f9-5d00-9405-788e730ed935,Korea Trade Surplus,,,Korea Trade Surplus,,,,Reuters,[],Reuters,
"   South Korea's gross national product is expected to grow 8.1 percent this year, compared with an official 7.5 percent target and a 9.3 percent rise last year, the Korea Development Institute, a government research center, said in a report.",https://www.nytimes.com/1984/06/25/business/south-korean-gnp.html,,"South Korea's gross national product is expected to grow 8.1 percent this year, compared with an official 7.5 percent target and a 9.3 percent rise last year, the Korea Development Institute, a government research center, said in a report.",D,8,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Forecasts', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Gross National Product (GNP)', 'rank': 3, 'major': 'N'}]",1984-06-25T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/bac0bd2a-0afa-5dc9-85d5-c8739a1225e6,43,nyt://article/bac0bd2a-0afa-5dc9-85d5-c8739a1225e6,South Korean G.N.P.,,,South Korean G.N.P.,,,,Reuters,[],Reuters,
"   The Kolon International Corporation and the Korean Electronics Company are planning a joint-venture company to sell television sets in the United States, a Korean Electronics official said today.",https://www.nytimes.com/1983/12/07/business/korean-tv-venture.html,,"The Kolon International Corporation and the Korean Electronics Company are planning a joint-venture company to sell television sets in the United States, a Korean Electronics official said today.",D,6,The New York Times,[],"[{'name': 'glocations', 'value': 'UNITED STATES (1983 PART 1)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'KOLON INTERNATIONAL CORP', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'KOREAN ELECTRONICS CO', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'JOINT VENTURES AND CONSORTIUMS', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 7, 'major': 'N'}]",1983-12-07T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/4ff9da8e-d3de-5dab-8492-8ec8df651892,34,nyt://article/4ff9da8e-d3de-5dab-8492-8ec8df651892,Korean TV Venture,,,Korean TV Venture,,,,AP,[],AP,
"LEAD: South Korea's gross national product rose 15.6 percent in the first quarter from a year earlier, provisional Bank of Korea figures showed today. The quarterly growth rate was the highest in eight years.",https://www.nytimes.com/1987/05/19/business/korean-gnp-surges.html,,"South Korea's gross national product rose 15.6 percent in the first quarter from a year earlier, provisional Bank of Korea figures showed today. The quarterly growth rate was the highest in eight years.",D,14,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Gross National Product (GNP)', 'rank': 3, 'major': 'N'}]",1987-05-19T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/2cc72cec-a3f8-57d0-bf71-0a8d2c69875b,72,nyt://article/2cc72cec-a3f8-57d0-bf71-0a8d2c69875b,Korean G.N.P. Surges,,,Korean G.N.P. Surges,,,,Reuters,[],Reuters,
"   A group of foreign banks is scheduled to sign an agreement on April 12 in New York to lend the state-run Korea Exchange Bank $600 million, the bank said today. A Korean spokesman said the loan would be co- managed by 25 leading banks, including Chase Manhattan, Citibank, Bank of America, the Royal Bank of Canada and leading British, West German, French and Japanese banks. It is to be repaid over eight years.",https://www.nytimes.com/1984/04/05/business/loan-for-korean-bank.html,,"A group of foreign banks is scheduled to sign an agreement on April 12 in New York to lend the state-run Korea Exchange Bank $600 million, the bank said today. A Korean spokesman said the loan would be co- managed by 25 leading banks, including Chase Manhattan, Citibank, Bank of America, the Royal Bank of Canada and leading British, West German, French and Japanese banks. It is to be repaid over eight years.",D,18,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Korea Exchange Bank', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Banks and Banking', 'rank': 3, 'major': 'N'}]",1984-04-05T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/56774752-4b5e-5935-9832-6b8d5d9773fa,79,nyt://article/56774752-4b5e-5935-9832-6b8d5d9773fa,Loan for Korean Bank,,,Loan for Korean Bank,,,,AP,[],AP,
"   With global shipping sluggish, South Korean shipyards saw foreign ship orders fall 49.3 percent in tonnage and 58 percent in monetary value during the first five months of 1984 from a year earlier, the Korea Shipbuilders Association said today. Foreign orders for 40 ships totaled 689,399 tons worth $438 million.",https://www.nytimes.com/1984/06/21/business/korean-shipyard-slump.html,,"With global shipping sluggish, South Korean shipyards saw foreign ship orders fall 49.3 percent in tonnage and 58 percent in monetary value during the first five months of 1984 from a year earlier, the Korea Shipbuilders Association said today. Foreign orders for 40 ships totaled 689,399 tons worth $438 million.",D,4,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SHIPBUILDING, CONVERSION AND REPAIR', 'rank': 2, 'major': 'N'}]",1984-06-21T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/15c2e389-9c94-53dd-a871-b06d4b96b4cf,56,nyt://article/15c2e389-9c94-53dd-a871-b06d4b96b4cf,Korean Shipyard Slump,,,Korean Shipyard Slump,,,,AP,[],AP,
"  South Korea's gross national product has grown an estimated 12.2 percent this year, compared with 5.4 percent last year, the Bank of Korea said today. It said growth this year was led by exports, which rose to $31.1 billion through November, compared with $26.5 billion in the corresponding period last year.",https://www.nytimes.com/1986/12/25/business/growth-in-korea-gnp.html,,"South Korea's gross national product has grown an estimated 12.2 percent this year, compared with 5.4 percent last year, the Bank of Korea said today. It said growth this year was led by exports, which rose to $31.1 billion through November, compared with $26.5 billion in the corresponding period last year.",1,48,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Bank of Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Gross National Product (GNP)', 'rank': 4, 'major': 'N'}]",1986-12-25T05:00:00+0000,article,Financial Desk,Business Day,News,nyt://article/c47cca19-b84f-50e3-982e-6e613d634d3e,57,nyt://article/c47cca19-b84f-50e3-982e-6e613d634d3e,Growth in Korea G.N.P.,,,Growth in Korea G.N.P.,,,,Reuters,[],Reuters,
"LEAD: Friends of South Korean democracy shouldn't be alarmed by President Roh Tae Woo's surprise postponement this week of the plebiscite he promised in his 1987 election campaign. The vote would not have added much to Korea's yearlong march toward democracy, and indeed might have distracted from the real issues.",https://www.nytimes.com/1989/03/25/opinion/not-so-regressive-in-korea.html,,"Friends of South Korean democracy shouldn't be alarmed by President Roh Tae Woo's surprise postponement this week of the plebiscite he promised in his 1987 election campaign. The vote would not have added much to Korea's yearlong march toward democracy, and indeed might have distracted from the real issues.",1,26,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'ROH TAE WOO', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Reform and Reorganization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 6, 'major': 'N'}]",1989-03-25T05:00:00+0000,article,Editorial Desk,Opinion,Editorial,nyt://article/085f2f1d-39ef-5382-939d-d3cabc73e4e2,509,nyt://article/085f2f1d-39ef-5382-939d-d3cabc73e4e2,Not So Regressive in Korea,,,Not So Regressive in Korea,,,,,[],,
