abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section
Hamlet (Play): Article on Korean Drama Center's production; illus (M),https://www.nytimes.com/1977/03/25/archives/new-jersey-weekly-melancholy-korean.html,Hamlet (Play): Article on Korean Drama Center's production; illus (M),The shadowy recesses of the La Mama Annex theater will become the battlements and chambers of the haunted castle at Elsinore this weekend. “Hamlet” at that snug home for avant‐garde theater? But this is a “Hamlet” with a difference.,54,The New York Times,[],"[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'REVIEWS AND OTHER DATA ON SPECIFIC PRODUCTIONS', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'HAMLET', 'rank': 3, 'major': 'N'}]",1977-03-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/41f9a5aa-2778-5b52-954a-a8d1f373cef9,602,nyt://article/41f9a5aa-2778-5b52-954a-a8d1f373cef9,Melancholy Korean,,,Melancholy Korean,,,,By Jennifer Dunning,"[{'firstname': 'Jennifer', 'middlename': None, 'lastname': 'Dunning', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"Ed revs kidnapping of Kim Dae Jung, S Korean Opposition party leader, and expresses hope that more ventures into political intrigue miscarry in order to show govts damage they can do to themselves by introducing ‘cloak‐and‐dagger tactics’ into internal affairs",https://www.nytimes.com/1973/08/17/archives/korean-plumbers.html,"Ed revs kidnapping of Kim Dae Jung, S Korean Opposition party leader, and expresses hope that more ventures into political intrigue miscarry in order to show govts damage they can do to themselves by introducing ‘cloak‐and‐dagger tactics’ into int...","Watergate‐like mystery enshrouds the strange abduction of a popular Korean opposition leader in Tokyo last week, and his equally strange reappearance at his Seoul home six days later, shaken but unharmed. It is already plain that officials there will be just as happy the mystery is never cleared up.",30,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}]",1973-08-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/ffc864aa-ba1e-50f0-9d3d-88c55c9c2721,315,nyt://article/ffc864aa-ba1e-50f0-9d3d-88c55c9c2721,Korean ‘Plumbers’,,,Korean ‘Plumbers’,,,,,[],,
"ed contends that US support for unpopular and repressive regime in S Korea is in danger of undermining collective security interests which such support is intended to insure; says assassination attempt on Pres Park and subsequent death of his wife only underline plight of Pres Park and that only viable means of survival left to him are repression and decree; says that while there is continuing validity in US maintaining close ties with S Korea because nation's pol stability and econ development are important features of over-all Asian security system, these valid interests are ill-protected by refusal of US policymakers to confront question of whether Park regime is any longer capable of providing either stability or development; as mos of repression continue, it is increasingly evident that S Korean Govt's policies are promoting exactly kind of unrest that makes it vulnerable to exploitation by Communist North; says that just as US cannot dictate internal policies of another country, so Pres Park must realize that US is entitled to determine for itself whether it is worth continuing mil aid that no longer serves its intended purpose (M)",https://www.nytimes.com/1974/08/16/archives/korean-tragedy.html,ed contends that US support for unpopular and repressive regime in S Korea is in danger of undermining collective security interests which such support is intended to insure; says assassination attempt on Pres Park and subsequent death of his wife...,United States support for an unpopular and repressive regime in South Korea is in danger of undermining the collective security interests which such support is intended to insure. Yesterday's assassination attempt against President Park Chung Hee and the subsequent death of his wife are tragedies which only underline the plight of the Korean dictator.,28,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}]",1974-08-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/a0844c62-e5ef-5de8-aa40-1ee924ccd2e6,273,nyt://article/a0844c62-e5ef-5de8-aa40-1ee924ccd2e6,Korean Tragedy,,,Korean Tragedy,,,,,[],,
"Ed holds that arrests and trials of dissidents in S Korea have taken on scope and character that demand US attention; scores Pres Park Chung Hee's repressive measures, noting extraordinary powers that he has assumed (S)",https://www.nytimes.com/1974/07/22/archives/repression-in-korea.html,"Ed holds that arrests and trials of dissidents in S Korea have taken on scope and character that demand US attention; scores Pres Park Chung Hee's repressive measures, noting extraordinary powers that he has assumed (S)",The arrests and military trials of dissidents in South Korea—highlighted by the fourteen death sentences handed down in one week—have suddenly taken on scope and character that demand American attention.,28,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}]",1974-07-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/80b60a6d-9469-55a0-b75d-0d4963e96ccc,354,nyt://article/80b60a6d-9469-55a0-b75d-0d4963e96ccc,Repression in Korea,,,Repression in Korea,,,,,[],,
"SEOUL, South Korea, June 25 (UPI)-- The 30th anniversary of the start of the Korean War passed quietly today but both North Korea and South Korea asserted that the peninsula was heading toward another armed conflict and China called for the withdrawal of United States forces.  ",https://www.nytimes.com/1980/06/26/archives/war-anniversary-is-quiet-in-korea.html,,,2,The New York Times,[],[],1980-06-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/352dbf58-8acf-5529-9adb-21cbee38916e,0,nyt://article/352dbf58-8acf-5529-9adb-21cbee38916e,War Anniversary Is Quiet in Korea,1,,War Anniversary Is Quiet in Korea,,,,,[],,A
"Sunkyong Ltd., the main company of South Korea's Sunkyong group, said it would purchase a 50 percent interest in the Korea Oil Company, Korea's largest refiner.  ",https://www.nytimes.com/1980/12/02/archives/sunkyong-interest-in-korean-refiner.html,,,4,The New York Times,[],[],1980-12-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/6f2bd9d9-aa64-5949-92b0-f1aa6bc6f326,0,nyt://article/6f2bd9d9-aa64-5949-92b0-f1aa6bc6f326,Sunkyong Interest In Korean Refiner,1,,Sunkyong Interest In Korean Refiner,,,,,[],,B
"SEOUL, South Korea, Feb. 27 (UPI) --South Korea ended the exclusive link that its currency had with the United States dollar today and floated its won in a multicurrency basket system.  ",https://www.nytimes.com/1980/02/28/archives/south-korea-floats-the-won.html,,,10,The New York Times,[],[],1980-02-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/387ab159-f07a-5732-a404-a6dec401907a,0,nyt://article/387ab159-f07a-5732-a404-a6dec401907a,South Korea Floats the Won,1,,South Korea Floats the Won,,,,,[],,B
"Governments, like families, resent what they feel is outside meddling in domestic quarrels. The military rulers of South Korea regard the case of Kim Dae Jung as strictly an internal affair. Mr. Kim, the most prominent opposition leader, has been tried and found guilty of sedition.  ",https://www.nytimes.com/1980/12/01/archives/what-is-on-trial-in-south-korea.html,,,18,The New York Times,[],[],1980-12-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/f35fdb7b-291d-543c-b84e-c48de86609c6,0,nyt://article/f35fdb7b-291d-543c-b84e-c48de86609c6,What Is on Trial in South Korea,1,,What Is on Trial in South Korea,,,,,[],,A
"Article on tourist attractions in S Korea, including Panmunjom (S)",https://www.nytimes.com/1976/10/03/archives/tourism-in-korea-korea-korea-makes-a-strong-pitch-for-tourists-from.html,"Article on tourist attractions in S Korea, including Panmunjom (S)",,283,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 2, 'major': 'N'}]",1976-10-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/eaa0918a-76d7-5e21-8d24-875a784fbef9,0,nyt://article/eaa0918a-76d7-5e21-8d24-875a784fbef9,Tourism In Korea Korea? !; Korea Makes a Strong Pitch For Tourists From the West; Wooing American Visitors,,,Tourism In Korea Korea? !; Korea Makes a Strong Pitch For Tourists From the West; Wooing American Visitors,,,,By Richard Halloran,"[{'firstname': 'Richard', 'middlename': None, 'lastname': 'Halloran', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"Despite years of spectacular national economic growth, the political mentality of South Korea's generals remains unchanged. Last weekend's military crackdown showed that power is still wielded by officers trained in the old school of Park Chung Hee. Their political rigidity contrasts with the dynamism that characterizes the rest of Korean society. And their methods have now provoked a formidable challenge in the streets of the provincial capital of Kwangju.  ",https://www.nytimes.com/1980/05/22/archives/south-korea-under-the-boot.html,,,34,The New York Times,[],[],1980-05-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/5ee85b0e-f746-58fd-aa9a-a52792c198ce,0,nyt://article/5ee85b0e-f746-58fd-aa9a-a52792c198ce,South Korea Under the Boot,1,,South Korea Under the Boot,,,,,[],,A
"TOKYO, Sept. 4 (Reuters)--North Korea charged that the United States sent a reconnaissance plane over its territorial waters today and it said the Americans ""should discontinue their espionage acts encroaching upon the sovereignty of our country."" A report on North Korea's official news agency said that United States reconnaissance planes had been spotted over coastal waters on five occasions since Aug. 14.  ",https://www.nytimes.com/1980/09/05/archives/north-korea-warns-us.html,,,8,The New York Times,[],[],1980-09-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/6f22590b-120a-5e42-afef-ed06ebd3fbb8,0,nyt://article/6f22590b-120a-5e42-afef-ed06ebd3fbb8,North Korea Warns U.S.,1,,North Korea Warns U.S.,,,,,[],,A
"SEOUL, South Korea, June 19-- Kang Sok Jin, South Korea's largest plywood exporter, is being investigated on suspicion of trying to divert some of his fortune while laying off about 4,000 workers of his collapsing Tongmyong Plywood Company, the authorities announced today.  ",https://www.nytimes.com/1980/06/20/archives/exporter-held-in-south-korea.html,,,9,The New York Times,[],[],1980-06-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/57859e77-0579-5f72-aae7-f79bdb8f3d28,0,nyt://article/57859e77-0579-5f72-aae7-f79bdb8f3d28,Exporter Held In South Korea,1,,Exporter Held In South Korea,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B
actor in play Jae Woo Lee illus,https://www.nytimes.com/1976/04/25/archives/new-jersey-weekly-from-korea-to-broadway.html,actor in play Jae Woo Lee illus,"The Japan of the lagt 123 years is re‐created each night in “Pacific Overtures,” a Broadway musical that depicts the arrival of foreigners on the shores of the “floating world” in 1853 and the country's subsequent acculturation.",402,The New York Times,[],"[{'name': 'persons', 'value': 'LEE, JAE WOO', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'REVIEWS AND OTHER DATA ON SPECIFIC PRODUCTIONS', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'PACIFIC OVERTURES', 'rank': 4, 'major': 'N'}]",1976-04-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/19384d0e-ffa5-5f41-bb7e-eaf107fc87a2,976,nyt://article/19384d0e-ffa5-5f41-bb7e-eaf107fc87a2,From Korea,,,From Korea,,,,By Jennifer Dunning,"[{'firstname': 'Jennifer', 'middlename': None, 'lastname': 'Dunning', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"Commerce &#8208; Industry Minister, said today of South Korea's agreement with the United States on limiting annual ex ports of man&#8208;made fibers, We are not satisfied, although our agreement is not unfavorable compared with those signed by other countries.&#8221;",https://www.nytimes.com/1971/10/17/archives/south-koreas-reaction.html,,"Commerce ‐ Industry Minister, said today of South Korea's agreement with the United States on limiting annual ex ports of man‐made fibers, We are not satisfied, although our agreement is not unfavorable compared with those signed by other countries.”",69,The New York Times,[],[],1971-10-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/be54e32b-30bc-5b29-bda8-2432dcbb0d7b,106,nyt://article/be54e32b-30bc-5b29-bda8-2432dcbb0d7b,"South Korea's Reaction SEOUL, South Korea, Oct. 16—Le Nak Sun, South Korea's",,,"South Korea's Reaction SEOUL, South Korea, Oct. 16—Le Nak Sun, South Korea's",,,,,[],,
"SEOUL, South Korea, June 29 (AP)--  A North Korean civilian defected at a South Korean guard post today by walking across the military demarcation line, the South Korean Defense Ministry said.  ",https://www.nytimes.com/1980/06/30/archives/north-korean-defects-to-south.html,,,2,The New York Times,[],[],1980-06-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/513ea7e7-5cad-5f17-b7fd-81558ae43d40,0,nyt://article/513ea7e7-5cad-5f17-b7fd-81558ae43d40,North Korean Defects to South,1,,North Korean Defects to South,,,,,[],,A
"TOKYO, April 27 (Reuters)--North Korea's industrial production rose by 15 percent last year, compared with 1978, the North Korean Central News Agency reported.  ",https://www.nytimes.com/1980/04/28/archives/north-korean-output-up.html,,,7,The New York Times,[],[],1980-04-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/78d0fdd9-f0cc-55fc-81e1-e587862ccb34,0,nyt://article/78d0fdd9-f0cc-55fc-81e1-e587862ccb34,North Korean Output Up,1,,North Korean Output Up,,,,,[],,B
"SEOUL, South Korea, Feb. 25 (UPI)  South Korean exports show an upward surge after the 19.8 percent devaluation of Korean currency against the United States dollar on Jan. 12, the Commerce-Industry Ministry said today.  ",https://www.nytimes.com/1980/02/26/archives/south-korean-exports-up.html,,,10,The New York Times,[],[],1980-02-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/e2826fc7-6076-5b18-86ff-71c94d2db568,0,nyt://article/e2826fc7-6076-5b18-86ff-71c94d2db568,South Korean Exports Up,1,,South Korean Exports Up,,,,,[],,B
"According to news reports, President Carter's defeat was greeted with jubilation by the military rulers of South Korea. We wonder why. In the past depressing six months, President Chun Doo Hwan has tightened his grip and fled from his promise of democratic reform.  ",https://www.nytimes.com/1980/11/20/archives/a-sordid-celebration-in-south-korea.html,,,34,The New York Times,[],[],1980-11-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/7e23f10a-48ac-581a-84ba-fac4c609b2d2,0,nyt://article/7e23f10a-48ac-581a-84ba-fac4c609b2d2,A Sordid Celebration in South Korea,1,,A Sordid Celebration in South Korea,,,,,[],,A
"Despite encouraging notices from American observers, last fall's unseasonable ""Seoul Spring"" had a disappointingly short run. Recent reports, though, suggest a genuine political thaw may be imminent in South Korea.  ",https://www.nytimes.com/1980/03/08/archives/south-koreas-second-spring.html,,,20,The New York Times,[],[],1980-03-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/0aba6e31-3679-5684-aae5-76e1e6a990e4,0,nyt://article/0aba6e31-3679-5684-aae5-76e1e6a990e4,South Korea's Second Spring,1,,South Korea's Second Spring,,,,,[],,
