abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
"Whiting, A S: China Crosses the Yalu. The Decision to Enter the Korean War",https://www.nytimes.com/1960/11/27/archives/when-maos-hordes-moved-south-that-cold-and-bitter-november-china.html,"Whiting, A S: China Crosses the Yalu. The Decision to Enter the Korean War",,BR,3,The New York Times,[],"[{'name': 'persons', 'value': 'WHITING, A S', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'CHINA CROSSES THE YALU. THE DECISION TO ENTER THE KOREAN WAR', 'rank': 3, 'major': 'N'}]",1960-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/1432188b-082b-56a9-8d5a-7204114ae15d,0,nyt://article/1432188b-082b-56a9-8d5a-7204114ae15d,"When Mao's Hordes Moved South That Cold and Bitter November; CHINA CROSSES THE YALU. The Decision to Enter the Korean War. By Alien S. Whiting. 219 pp. Published for The Rand Corporation by The Macmillan Company, New York. $7.50.",,,"When Mao's Hordes Moved South That Cold and Bitter November; CHINA CROSSES THE YALU. The Decision to Enter the Korean War. By Alien S. Whiting. 219 pp. Published for The Rand Corporation by The Macmillan Company, New York. $7.50.",,,,By C. Martin Wilbur,"[{'firstname': 'C.', 'middlename': 'Martin', 'lastname': 'Wilbur', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Students raid homes of 2 US teachers at Yonsei U; some boycott classes to protest dismissal of 3 profs,https://www.nytimes.com/1960/11/17/archives/koreans-attack-homes-wreck-furniture-of-two-us-educators-at.html,Students raid homes of 2 US teachers at Yonsei U; some boycott classes to protest dismissal of 3 profs,,,3,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA, SOUTH', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 2, 'major': 'N'}]",1960-11-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/a6e4c1a6-1925-5f14-a6f5-c98b44e82246,0,nyt://article/a6e4c1a6-1925-5f14-a6f5-c98b44e82246,KOREANS ATTACK HOMES; Wreck Furniture of Two U.S. Educators at University,,,KOREANS ATTACK HOMES; Wreck Furniture of Two U.S. Educators at University,,,,,[],
Min Hyun Suk Ho resigns; Shin Hyun Don apptd successor,https://www.nytimes.com/1960/11/21/archives/seoul-home-minister-resigns.html,Min Hyun Suk Ho resigns; Shin Hyun Don apptd successor,,,15,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/0bd5fa6a-503c-5312-8f72-23db765ec351,0,nyt://article/0bd5fa6a-503c-5312-8f72-23db765ec351,Seoul Home Minister Resigns,,,Seoul Home Minister Resigns,,,,,[],
NK bars UN supervision,https://www.nytimes.com/1960/11/12/archives/north-korea-bars-un-role.html,NK bars UN supervision,,,5,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'UNIFICATION', 'rank': 2, 'major': 'N'}]",1960-11-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/2cc0da00-1823-5563-ba4a-98ddd32d53c5,0,nyt://article/2cc0da00-1823-5563-ba4a-98ddd32d53c5,North Korea Bars U.N. Role,,,North Korea Bars U.N. Role,,,,,[],
Philippines Sec Serrano visits Seoul,https://www.nytimes.com/1960/11/09/archives/philippines-aide-in-korea.html,Philippines Sec Serrano visits Seoul,,,42,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/ef980ca7-4c22-57d6-9b07-ec6c96212033,0,nyt://article/ef980ca7-4c22-57d6-9b07-ec6c96212033,Philippines Aide in Korea,,,Philippines Aide in Korea,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
"Adenauer indicates he resents speculation, s, Bonn",https://www.nytimes.com/1960/11/19/archives/adenauer-notes-bonn-duty-to-aid-pledges-help-to-poor-lands-as-moral.html,"Adenauer indicates he resents speculation, s, Bonn",,,3,The New York Times,[],"[{'name': 'glocations', 'value': 'GERMANY, WEST', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'KOREA, SOUTH', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'North Atlantic Treaty Organization', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'FOREIGN RELATIONS AND SERVICE', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Foreign Aid', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT AND MATERIEL', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'WEST', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'WEST', 'rank': 12, 'major': 'N'}]",1960-11-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/ff8b5d89-a2c2-56b5-a956-9d52f5418c37,0,nyt://article/ff8b5d89-a2c2-56b5-a956-9d52f5418c37,ADENAUER NOTES BONN DUTY TO AID; Pledges Help to Poor Lands as 'Moral Obligation' -- Opens Party Campaign,,,ADENAUER NOTES BONN DUTY TO AID; Pledges Help to Poor Lands as 'Moral Obligation' -- Opens Party Campaign,,,,By Sydney Grusonspecial To the New York Times,"[{'firstname': 'Sydney', 'middlename': 'Grusonspecial', 'lastname': 'To', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
50 hurt in clash with police,https://www.nytimes.com/1960/11/18/archives/50-injured-as-students-try-to-march-on-seoul.html,50 hurt in clash with police,,,2,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA, SOUTH', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 2, 'major': 'N'}]",1960-11-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/eb3541ff-d660-5d1c-8d65-f214e76323f1,0,nyt://article/eb3541ff-d660-5d1c-8d65-f214e76323f1,50 Injured as Students Try to March on Seoul,,,50 Injured as Students Try to March on Seoul,,,,,[],
"over 300 Conservative politicians meet, Seoul, to study forming Opposition party",https://www.nytimes.com/1960/11/09/archives/koreans-discuss-new-party.html,"over 300 Conservative politicians meet, Seoul, to study forming Opposition party",,,40,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/291832c8-1707-5a36-9238-480d8f3c9eb2,0,nyt://article/291832c8-1707-5a36-9238-480d8f3c9eb2,Koreans Discuss New Party,,,Koreans Discuss New Party,,,,,[],
Chang calls for austerity program for Govt employes,https://www.nytimes.com/1960/11/13/archives/austerity-for-seoul-officials.html,Chang calls for austerity program for Govt employes,,,79,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/dd056128-6fcf-5e67-a7ab-dcdbb6505104,0,nyt://article/dd056128-6fcf-5e67-a7ab-dcdbb6505104,Austerity for Seoul Officials,,,Austerity for Seoul Officials,,,,,[],
"he and Chang stress anti-communism aims, communique; to strengthen ties",https://www.nytimes.com/1960/11/12/archives/manila-and-seoul-cite-antired-unity.html,"he and Chang stress anti-communism aims, communique; to strengthen ties",,,3,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/3b88a49e-b4ea-52f9-b4dc-4b5968c1ef25,0,nyt://article/3b88a49e-b4ea-52f9-b4dc-4b5968c1ef25,MANILA AND SEOUL CITE ANTI-RED UNITY,,,MANILA AND SEOUL CITE ANTI-RED UNITY,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Mrs Rhee repts husband wants to return to SK for quiet retirement,https://www.nytimes.com/1960/11/06/archives/return-to-korea-is-rhees-desire-wife-reports-expresident-wants.html,Mrs Rhee repts husband wants to return to SK for quiet retirement,,,135,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Rhee, Syngman', 'rank': 3, 'major': 'N'}]",1960-11-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/790cb6ec-d6fe-599b-915a-cd0efcddfeed,0,nyt://article/790cb6ec-d6fe-599b-915a-cd0efcddfeed,RETURN TO KOREA IS RHEE'S DESIRE; Wife Reports Ex-President Wants 'Quiet Retirement' if Allowed to Go Back,,,RETURN TO KOREA IS RHEE'S DESIRE; Wife Reports Ex-President Wants 'Quiet Retirement' if Allowed to Go Back,,,,By Richard J.h. Johnstonspecial To the New York Times,"[{'firstname': 'Richard', 'middlename': 'J.', 'lastname': 'h', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
USSR cancels $190-million debt; grants deferment of payments under $35-million credit,https://www.nytimes.com/1960/11/02/archives/soviet-cuts-korea-reds-debt.html,USSR cancels $190-million debt; grants deferment of payments under $35-million credit,,,33,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'NORTH', 'rank': 2, 'major': 'N'}]",1960-11-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/32f7600a-7003-535b-adef-ebcba0deca3c,0,nyt://article/32f7600a-7003-535b-adef-ebcba0deca3c,Soviet Cuts Korea Reds' Debt,,,Soviet Cuts Korea Reds' Debt,,,,,[],
in Washington for confs,https://www.nytimes.com/1960/11/07/archives/seoul-aide-arrives-foreign-minister-in-capital-to-talk-with-us.html,in Washington for confs,,,15,The New York Times,[],"[{'name': 'glocations', 'value': 'KOREA', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'SOUTH', 'rank': 2, 'major': 'N'}]",1960-11-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/746b8936-50ec-5832-9af7-d7f379e44f8f,0,nyt://article/746b8936-50ec-5832-9af7-d7f379e44f8f,SEOUL AIDE ARRIVES; Foreign Minister in Capital to Talk With U.S. Officials,,,SEOUL AIDE ARRIVES; Foreign Minister in Capital to Talk With U.S. Officials,,,,,[],
